Configuration Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,ref_var_name,ref_type,ref_category,config_category,name: en,name: fr_CA,description: en,description: fr_CA,variable_name,menu_type,data_type,display_type,set_type,required,hidden,default_value,validation_type,item_level_process,auto_lock,cons_values_display,status,hide_in_trans,additional,start_date,end_date,order_number,is_array_attr,is_array_control_attr,pricing_type,pricing_display_type,is_display_pricing_at_bottom,include_in_total_price,guid,set_variable_name,menu_display_text: en,menu_display_text: fr_CA,menu_item_price: USD,menu_item_price: EUR,menu_item_price: CAD,menu_item_price: GBP,menu_item_price: AUD,menu_item_price: CNY,menu_item_price: DKK,menu_item_price: HKD,menu_item_price: INR,menu_item_price: JPY,menu_item_price: KRW,menu_item_price: PHP,menu_item_price: SGD,menu_item_price: SEK,menu_item_price: TWD,menu_item_price: BRL,menu_variable_name,menu_item_images
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Recurring Charge (MRC),,<font color='#FF0000'>Either MRC or NRC (or both) must be greater than $0.</font>,,supsMrc,FALSE,Currency,Text,None,TRUE,FALSE,0,None,FALSE,FALSE,Marked,Active,FALSE,precision_USD:~precision_EUR:~precision_CAD:~precision_GBP:~precision_AUD:~precision_CNY:~precision_DKK:~precision_HKD:~precision_INR:~precision_JPY:~precision_KRW:~precision_PHP:~precision_SGD:~precision_SEK:~precision_TWD:~precision_BRL:,,,1,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076945,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Non-Recurring Charge (NRC),,<font color='#FF0000'>Either MRC or NRC (or both) must be greater than $0.</font>,,supsNrc,FALSE,Currency,Text,None,TRUE,FALSE,0,None,FALSE,FALSE,Marked,Active,FALSE,precision_USD:~precision_EUR:~precision_CAD:~precision_GBP:~precision_AUD:~precision_CNY:~precision_DKK:~precision_HKD:~precision_INR:~precision_JPY:~precision_KRW:~precision_PHP:~precision_SGD:~precision_SEK:~precision_TWD:~precision_BRL:,,,2,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076946,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Product Type,,,,supsProductType,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,3,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076947,,New~Renewal~Change~Product Migration,,,,,,,,,,,,,,,,,,New~Renewal~Change~Product Migration,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Previous Recurring Charge (MRC),,,,supsPrevMrc,FALSE,Currency,Text,None,TRUE,FALSE,0,None,FALSE,FALSE,Marked,Active,FALSE,precision_USD:~precision_EUR:~precision_CAD:~precision_GBP:~precision_AUD:~precision_CNY:~precision_DKK:~precision_HKD:~precision_INR:~precision_JPY:~precision_KRW:~precision_PHP:~precision_SGD:~precision_SEK:~precision_TWD:~precision_BRL:,,,4,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076952,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,CRM Sales Offer,,Display Attribute to make the CRM Product Name Field more noticable.,,cRMSalesOffer,FALSE,HTML,Read Only,Forced Set,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,TRUE,auto_resize:true,,,5,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076953,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Sales Offer ID,,,,crmSalesOfferId,FALSE,Integer,Text,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,,,,6,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076954,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Reason for Using Lite Quote,,,,supsReason,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,TRUE,FALSE,Removed,Active,FALSE,image_menu_layout:false,,,7,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076955,,Detailed quote not supported for my configuration~Encountered system error trying to complete detailed quote~Other,,,,,,,,,,,,,,,,,,COULD NOT SUPPORT~SYSTEM ERROR~OTHER,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Other Reason,,,,supsOtherReason,FALSE,Text,Text Area,None,TRUE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,text_area_cols:20~text_area_rows:5,,,8,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076959,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Service Provider,,,,ctlServiceProvider,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Removed,Active,FALSE,image_menu_layout:false,,,9,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076960,,CenturyLink QC~CenturyLink QCC~Savvis Inc.,,,,,,,,,,,,,,,,,,QC~QCC~SAVS,
add,allEquipment:familyCenturyLink,Product Family,1,Configurable Attributes,Available Product Bundles,,,,ctlSupsAvailableProductBundles,TRUE,Text,Checkbox Horizontal,None,FALSE,FALSE,Bundle 1,None,TRUE,FALSE,Marked,Active,FALSE,image_menu_layout:true~image_menu_value:Below Image~image_menu_cols:4~image_menu_rows:0~image_menu_size_type:Height~image_menu_size:75,,,10,FALSE,FALSE,None,None,FALSE,FALSE,sbcenturylink_721076964,,No Bundle Selected~Bundle 2~Bundle 3~Bundle 4,,,,,,,,,,,,,,,,,,Bundle 1~Bundle 2~Bundle 3~Bundle 4,Database_Utilities.jpg~GreenIcon_BigCloud.png~Web_Application_Software.jpg~
